Question ID,Question,Question Type,Ground Truth,Generated Answer,MRR,NDCG@10,Recall@10,BERTScore F1,Response Time (s)
Q011,What was the primary reason for the difficulties in the way of educating children properly?,factual,the constant coming and going,"Oregon Route 58: freight corridor. It is the primary route between the Willamette Valley and south-central Oregon, including the Klamath Falls region. It also is the preferred route to points further southeast, including Reno, Nevada. Finally, it is an important alternate route for traffic moving up and down",0.0,0.0,0.0,0.4904354214668274,3.392185688018799
Q012,What city is Jericho located on?,factual,Manhattan,"As of 2024, the average home price in Jericho was 1,083,413, compared to a New York state average of 453,138; the average listing price for a home was 1,276,833, compared to a New York state average of 406,667.",1.0,1.0,1.0,0.46426236629486084,3.489471673965454
Q013,What is the key to the Service Initiative?,factual,a program encouraging hands-on service to children aimed towards a common goal,Key Club concept was abolished by a vote of the Key Club International Board.,1.0,0.9502262648327979,1.0,0.5378695130348206,1.3085718154907227
Q014,What is the use of outside air to cool indoor spaces?,factual,Ventilative cooling,"Indoor conditions, particularly in homes outside the tropics, imply very low humidity. Both air conditioning and room heating reduce air humidity significantly. Many non-tropicals grow better when there is a distinct difference between day temperatures (warm) and night (cooler).",0.0,0.0,0.0,0.5211297869682312,3.0454044342041016
Q015,Who was the first host of Stargate SG-1?,factual,Showtime,2016 3rd place (host) 2016 3rd place Pan American Games 2007 Champions (host) Panamerican FIFUSA Championship 1980 Champions (host) 1984 Champions (host) 1990 Did not enter 1993 Semi-finals 1996 4th place 1999 Did not enter South American Games 2002 Champions (host) 2006,0.0,0.0,0.0,0.44770073890686035,3.3776469230651855
Q016,What was the title of Robyn's pop-up club series?,factual,Konichiwa Bitches goes Tutti Frutti,Robyn Is Here,1.0,0.9937947856332161,1.0,0.484407901763916,0.7540864944458008
Q017,What event did Michael Trindade miss in the 2024 Summer Olympics?,factual,first round,a women's slalom.,0.0,0.0,0.0,0.49335789680480957,1.0200695991516113
Q018,"What was the goal objective of the event that was held in Washington, D.C.?",factual,35th anniversary of the creation of the Black Panther Party,The Uniform Monday Holiday Act,0.0,0.0,0.0,0.49942347407341003,0.7474315166473389
Q019,How many dollars are spent per question in the draft question?,factual,45 euros,"The Virginia implementation of that program is the Commonwealth Challenge (or Commonwealth ChalleNGe), a program with a military structure operated by the Virginia National Guard on Camp Pendleton for at risk 16 to 18 year olds.",0.0,0.0,0.0,0.4719642400741577,2.5728118419647217
Q020,How many touchdowns did Marshall score?,factual,3,10-yard touchdown pass,0.0,0.0,0.0,0.4575423300266266,0.6926770210266113
Q021,What was the name of the company that Hamad was vice-president of before making his foray into politics?,factual,Groupe Roche,Hamad moved to Quebec City and studied civil engineering at Université Laval where he received both a bachelor's and master's degree. He also studied at the Université du Québec à Trois-Rivières where he obtained a master's degree in management,1.0,1.0,1.0,0.44153887033462524,3.3261897563934326
Q022,What is the name of the engineering company he is Managing Director and Chief Executive Officer of?,factual,Dorman Long Engineering Limited,He was a man of many talents and a wide range of interests.,0.0,0.0,0.0,0.4676385819911957,1.2835748195648193
Q023,What is the name of the person that the GCSB spied on?,factual,Kim Dotcom,1 April 2003.,1.0,0.9933222998814617,1.0,0.4305621385574341,0.6520371437072754
Q024,What is FOG?,factual,Something that obscures and confuses a situation or someone's thought processes,"Emotional blackmail is a punishment that can take place in romantic relationships. For instance, in an unpleasant [2] Rear flank downdraft: The rear flank downdraft can arise owing to negative buoyancy, which can be generated by cold anomalies produced at the rear of the supercell",1.0,0.8175295903539445,1.0,0.5232696533203125,3.6054725646972656
Q025,Who did Sutee play for in 2003?,factual,Home United,Tanjong Pagar.,1.0,1.0,1.0,0.5159429311752319,0.7455074787139893
Q026,What two institutions existed in Jericho?,factual,Charity Society of Jericho and Westbury,Asian,1.0,0.9971876401972101,1.0,0.5494258999824524,0.5233814716339111
Q027,Who was responsible for the formation of the population outside the capital?,factual,30 households,The economy began to undergo a dramatic change as smaller markets and operations were being replaced by more centralized and efficient ones. This was due in no small part to the advent of the railroad.,1.0,1.0,1.0,0.4897138178348541,2.232651710510254
Q028,Where did Milstein study at Goethe-Institut in Tel Aviv and Düsseldorf?,factual,German language,Israel to direct it,0.0,0.0,0.0,0.5651616454124451,0.6607224941253662
Q029,What is the last known species to be extinction-related?,factual,Megacerops,"Megacerops was endemic to North America during the Late Eocene, during the Chadronian land mammal age.",0.5,0.6947702914378464,1.0,0.6188639402389526,1.8680975437164307
Q030,What is the name of the band Stephen played for?,factual,Uncle John's Band,"The Siegel–Schwall Band (album): was released by Vanguard Records in 1966. It is not to be confused with the band's fifth album, which is also titled The Siegel Schwall Band.",0.0,0.0,0.0,0.5013024806976318,2.6421451568603516
Q031,How many crew and a dog were rescued from the burning Taiwanese fishing vessel Hsin Chin Chanz?,factual,13,Albert J Ferguson who took the lifeboat to rescue 5 people from a dredger that was in danger of breaking its moorings outside the harbour in a Force 10 storm on 12 September 1980.,1.0,1.0,1.0,0.4860735237598419,2.5339090824127197
Q032,What year did Celebration High School first compete in the Florida High School Athletic Association?,factual,,"Garfield High School with football, baseball, and wrestling.",0.0,0.0,0.0,0.0,1.0167157649993896
Q033,Where did the Allensworths move to live?,factual,Los Angeles,"Allen and Josephine founded Allensworth, California, a place for Blacks to live free of discrimination in a town that they governed.",1.0,1.0,1.0,0.5126940011978149,2.0013532638549805
Q034,What does Laurie use to help make a video of himself?,factual,a remote camera,Robyn is a star. And that's exactly what happens in this video,0.2,0.42177340954886444,1.0,0.5375669002532959,1.2677206993103027
Q035,Who is Sir Daniel?,factual,"a powerful, unscrupulous knight",Marc accepts the pitching and gives Betty tips on how to pitch the designer to Wilhelmina.,0.0,0.0,0.0,0.5100032091140747,1.4393563270568848
Q036,What is the structure of RELA?,factual,"N-terminal REL-homology domain (RHD), and also a C-terminal transactivation domain (TAD)",Welsh government in 1840s,0.0,0.0,0.0,0.4245147109031677,0.7352156639099121
Q037,Which school does not have direct transfer intake of pupils?,comparative,studio schools,"Transfer stations are intermediary drop off locations often used where treatment facilities are located too far away from population centers to make direct disposal feasible. In addition, municipalities where a significant percentage of homes cannot be accessed by tanker truck should utilize transfer stations. Transfer stations are used if: More than 5 of the homes",0.0,0.0,0.0,0.47873252630233765,3.494271993637085
Q038,What is the difference between gender equality and gender inequality?,comparative,gender equality,"a growing emergence of conflicts in Europe, including violent ones.",0.0,0.0,0.0,0.5390161275863647,1.2136926651000977
Q039,What was the name of the game that was played by Stephen Haskell?,comparative,Scrabble,Olimpija Ljubljana,0.0,0.0,0.0,0.48787152767181396,0.9476218223571777
Q040,What political party is Maria Michlewitz?,comparative,progressive,Sudan,0.0,0.0,0.0,0.6360877156257629,0.5210363864898682
Q041,What was the total weight of Progress 4?,comparative,"4,800 kilograms",the Broselow Tape,0.0,0.0,0.0,0.46260344982147217,0.7765979766845703
Q042,What is the name of the horse that Copperbottom was offered for stud service in the early 1800s?,comparative,Tom Hal,"The brontotheres have traditionally been placed in the perissodactyl suborder Hippomorpha, a group that also includes horses, the extinct palaeotheres (Palaeotheriidae), and in some classification schemes the extinct",0.0,0.0,0.0,0.4032759368419647,3.4791688919067383
Q043,Which of the following people died first: Sir John Squire or Sir Richard Steele?,comparative,Sir John Squire,"he was present at the Oxford assizes during the prosecution of a malcontent bookbinder, Rowland Jencks",0.0,0.0,0.0,0.49040669202804565,1.7269115447998047
Q044,What is Saint John the Baptist's original size?,comparative,69 by 57 centimetres,"The earliest depictions to survive is a miniature in an important Byzantine illuminated manuscript of 979 984, the Menologion of Basil II in the Vatican Library. This has a scene which shows Mary and Joseph holding the baby Jesus outside a building, probably the Temple of Jerusalem, as",0.0,0.0,0.0,0.3893709182739258,3.5208516120910645
Q045,How many years after Tyne Tees Television's planned to build a studio did the company begin broadcasting in colour?,comparative,2,in 1976,0.0,0.0,0.0,0.6126635074615479,0.5831501483917236
Q046,What was the first name of the person that started her career as a child dancer?,comparative,A,.,0.0,0.0,0.0,1.0000003576278687,0.5411341190338135
Q047,What species makes a greeting call?,comparative,African striped weasels,African striped weasels a range of habitats.,1.0,0.9427731067700877,1.0,0.8036417365074158,1.0869596004486084
Q048,What are the four noble truths?,comparative,"one doctrine among others and are not particularly central , but are a part of the entire dhamma matrix .","Hagins wrote a screenplay for Grow Up, Tony Phillips.",0.0,0.0,0.0,0.49903619289398193,1.163170337677002
Q049,What tribe did the Prescott gold strike lead to?,comparative,Tonto Apache,U.S. military officials.,0.0,0.0,0.0,0.6182878613471985,0.8400962352752686
Q050,Which film did Menzies star in in 2014?,comparative,The Birthday Gift,"In 2016, it was announced that Menzies had been cast in director Emily Harris' adaptation of Carmilla, a fantasy film based upon the Gothic novella of the same name by Joseph Thomas Sheridan Le Fanu.",1.0,1.0,1.0,0.47216475009918213,2.7543327808380127
Q051,What is the difference between set and ordinal numbers?,comparative,classes are not distinguished as they are in modern set-theoretic terminology.,a small class),1.0,1.0,1.0,0.5826963186264038,0.7114806175231934
Q052,Which character is in the film Vivaha Bandham?,comparative,Bharathi,"Bharathi is the daughter of retired principal Appa Rao, with values and self-esteem. She and lecturer Chandrashekar fall in love. Bharathi's mother, Manikyamba, does not like this alliance because of its prestige. But Appa Rao convinces her",1.0,1.0,1.0,0.5123642086982727,3.6412575244903564
Q053,What was the difference between Megacerops and modern bison?,comparative,Megacerops anatomy has been compared to the vertebrae and neck musculature of modern bison.,were large.,1.0,1.0,1.0,0.5118303298950195,0.6361215114593506
Q054,Which statement is true according to the example given?,comparative,"The sum of x_ 1 , x_ 2 , ldots ,x_ n , sum _ i , 1 n x_ i - sum _ i j max x_ i ,x_ j sum _ i j k max x_ i ,x_ j ,x_ k - cdots qquad cdots left(-1 right) n 1 max x_ 1 ,x_ 2 , ldots ,x_ n . end aligned",his own imagination.,0.0,0.0,0.0,0.3185224235057831,0.6692748069763184
Q055,What is the most common form of congenital hearing loss in developed countries?,comparative,DFNB1,They are a reference.,0.0,0.0,0.0,0.5796478986740112,0.7495160102844238
Q056,Which was the last division to be disbanded?,comparative,4th Gurkha Rifles,184th Red Banner Rifle Division,0.0,0.0,0.0,0.6609259247779846,0.9100155830383301
Q057,What is the origin of the knowledge that the Buddha had not been liberated from?,comparative,path intoxicants (asava),Dharmakirti uses the Buddha's infinite compassion (karu) as a basis for the proof that he is a reliable source of knowledge for those seeking spiritual freedom and to show that he spoke the truth.,0.0,0.0,0.0,0.539668083190918,2.902991533279419
Q058,What are the characteristics of Acacia havilandiorum?,comparative,bushy shrub or small,Acacia havilandiorum) in 1930.,1.0,1.0,1.0,0.4656355381011963,1.0817325115203857
Q059,What year did Josie Allensworth die?,comparative,1938,Allensworth was a small town on 40 to 50 families in 1985. About 240 acres of Allensworth land was used to create a California State Historic Park called Colonel Allensworth State Historic Park,1.0,1.0,1.0,0.4342237412929535,2.736846923828125
Q060,How many years after TV-am launched did A Midsummer Night's Tube air live?,comparative,1,Programmes These were some of the shows heard in 1935 as listed in the 3 May edition of Radio Pictorial: Sundays: 12:00 noon Musical Voyage with Bobbie Comber and Reginald Purdell and sponsored by Halls Wine. 12:15 pm Do-Do Broadcasts sponsored medication,0.0,0.0,0.0,0.4809228479862213,3.6633450984954834
Q061,Who was defeated in the film Stargate: Continuum?,comparative,System Lord Ba'al,"Creators: The Past: , the series was listed as one of the most successful television series",0.0,0.0,0.0,0.46914568543434143,1.505000114440918
Q062,Which group is larger: males or females?,comparative,females,"population was spread out with 24.4 under the age of 18, 27.5 from 18 to 24, 27.5 from 25 to 44, 28.5 from 45 to 64, and 18.5 who were 65 years of age or older.",0.0,0.0,0.0,0.3995353877544403,2.5839459896087646
Q063,How many years after Macmillan's successor was Alec Douglas-Home resigned the Lords to enter the House of Commons?,comparative,7,"Britain's application to join the Common Market was vetoed by French President Charles de Gaulle on 29 January 1963, in due to his fear that 'the end would be a colossal Atlantic Community dependent on America', and personal anger at the Anglo-American nuclear",1.0,0.9963488021549354,1.0,0.4947366714477539,3.6210429668426514
Q064,What is the area of the facility that SCI Albion is located in?,inferential,357-acre,Hacienda Santa Cruz,1.0,1.0,1.0,0.4730241894721985,0.8571090698242188
Q065,What type of disease is it?,inferential,a corpse disease,The type 1 Ho-Ni I and its variant the Type 1 Ho-Ni II in production,0.0,0.0,0.0,0.4331148862838745,1.5352838039398193
Q066,What river is Creagrutus kunturus endemic to?,inferential,Maraón,Salburua,0.0,0.0,0.0,0.6691465973854065,0.7141399383544922
Q067,How long does the leaflet fern remain?,inferential,60 100 cm,"[1] Leaf: the need to absorb CO2. In most plants, leaves also are the primary organs responsible for transpiration and guttation. In most plants, leaves also are the primary organs responsible for transpiration and guttation. In most plants, leaves also are the primary organs responsible for transpiration",0.0,0.0,0.0,0.3974160850048065,3.4908323287963867
Q068,Who has a history of churches?,inferential,the municipality,gvaldsnes,0.25,0.46845052016107697,1.0,0.5771657228469849,0.8108687400817871
Q069,What do the larvae of Cephonodes hylas feed on?,inferential,"Burchellia, Gardenia, Kraussia, Pavetta and Vangueria species",[1] Mecistocephalus glabridorsalis: cephalus.,0.0,0.0,0.0,0.5430688261985779,1.4843120574951172
Q070,How does the spinner change the yarn?,inferential,"When the loop and the yarn are nearly fully plied together, a new loop of yarn is pulled through the initial loop, and spinning continues. This process is repeated until the yarn is all plied. This technique allows the spinner to try to match up thick and thin spots in the yarn, thus making for a smoother end product. Center-pull ball plying",Machined yarns Machines that ply yarn use the 'regular' method mentioned above. The main difference is that gears control the intake,1.0,1.0,1.0,0.5514070987701416,2.0025532245635986
Q071,How many more votes did Dan Bishop get than David Rouzer?,inferential,101.1,"Obama's presidency,",0.0,0.0,0.0,0.5581210851669312,0.7054851055145264
Q072,What happens to the greater sac during embryogenesis?,inferential,infolding,"The article on the village, makes no mention of the hacienda.",0.0,0.0,0.0,0.4460791349411011,1.273256540298462
Q073,What is the main difference between the TB strain and that of Eurasian TB?,inferential,"This TB is a different strain from that prevalent today in the Americas, which is more closely related to a later Eurasian strain",The following phylogenetic information about Mecistocephalus glabridorsalis is presented in the text.,0.0,0.0,0.0,0.5289013385772705,2.022371292114258
Q074,What was the name of the building that was designed as a revenue generating property?,inferential,Kahramanlar Business Center,,1.0,1.0,1.0,0.0,0.4801757335662842
Q075,"Which of the following is not a book: Smith, F. B., Retreat of Tuberculosis, or The Conquest of Tuberculosis?",inferential,The Conquest of Tuberculosis,He continued to suffer from chronic illness.,0.0,0.0,0.0,0.5486902594566345,0.8404271602630615
Q076,How many months after Selig announced he would shut down Apollo did he apologize to the company?,inferential,1,"Christian Selig said that he was quoted US 12,000 for 50 million requests and could be forced to pay US 20 million per year in order to continue to operate.",1.0,0.9950883841893561,1.0,0.5866748690605164,2.075324773788452
Q077,Which British party was allied with Gandhi and Nehru?,inferential,Labour,US loan,1.0,0.9560094522876519,1.0,0.7214367985725403,0.6352105140686035
Q078,What is the full name of the bridge?,inferential,Harrison Road (U.S. Route 52),"Creighton, Peet (1966). The first book of bridges. New York: Franklin Watts, Inc. OCLC 1034684565. Hayden, Martin (1976). The Book of Bridges. New York: Galahad Books. ISBN 0-88365-358-3.",0.25,0.43067655807339306,1.0,0.5257750749588013,3.562810182571411
Q079,Which Swedish party was not listed on the list of municipalities in the first half of the 2000 census?,inferential,The Sweden Democrats,Sjöbo Municipality,1.0,1.0,1.0,0.5753169059753418,0.887803316116333
Q080,Who established the National Association of Realtors in 1916?,inferential,Chicago,[1],1.0,0.9469024295259745,1.0,0.6845395565032959,0.7257080078125
Q081,Who is the first person that was featured in The Flash?,inferential,Jakeem Thunder,Marvel Comics,1.0,0.9505310077117098,1.0,0.5271648168563843,0.6629538536071777
Q082,Who was the prime minister on 10 January 1963?,inferential,Harold Macmillan,pound,1.0,0.9199753853803091,1.0,0.6059130430221558,0.6090102195739746
Q083,What was the first name of the new team?,inferential,Budivelnyk,Serie C,0.0,0.0,0.0,0.5266174077987671,0.6976559162139893
Q084,Where did Aries enter a shipyard for alterations and repairs?,inferential,"Boston, Massachusetts",the South Pacific,1.0,1.0,1.0,0.5183876156806946,0.6795611381530762
Q085,What was the name of the Kurdish woman who was appointed by Abd al-Karim Qasim?,inferential,Zakiyya Hakki,"Rania Elwani: She swam for Egypt at 1992, 1996 and 2000 Olympics.",0.0,0.0,0.0,0.5033780932426453,1.6039955615997314
Q086,What country is the orchid industry a major industry in?,inferential,Taiwan,glabrous and terete branchlets.,0.0,0.0,0.0,0.4662715792655945,1.1144182682037354
Q087,What is the name of the species that African striped weasel is described as?,inferential,Taenia brachyacantha,The following cladogram shows the position of the African striped weasel among its closest living relatives according to Gray et al.,1.0,1.0,1.0,0.47885948419570923,1.998098373413086
Q088,How many years after Nepal was invited to participate in the 2019 AMF Futsal Men's World Cup was Nepal invited to compete in the International Soccer Futsal Cup 2018?,inferential,5,Record (in the year): 0-1 (in the year): 0-1 (in the year): 0-1 (in the year): 0-1 (in the year): 0-1 (in the year): 0-1 (in the year): 0-1,0.0,0.0,0.0,0.47277799248695374,3.5438449382781982
Q089,What is the most common type of damage to the inner ear?,inferential,temporal bone fracture,"The symbols in the International Phonetic Alphabet are t  (often simplified to t ), and in Americanist phonetic notation it is  (barred lambda). Features Features of a voiceless alveolar lateral affricate:",0.0,0.0,0.0,0.4349897801876068,3.307603597640991
Q090,What did the new house have to do with the damage?,inferential,destroyed,"Wufeng Lin Family Mansion and Garden: Served as the family cemetery for the Upper House lineage of the Lin Clan, arranged in a large-scale Zhaomu () system. The Stone Duke () Bronze Statue of Lin Yunqing () Oak",1.0,1.0,1.0,0.414115309715271,3.5159902572631836
MH001,What was the name of the city that drew people from across the world to the area?,multi-hop,Iceland,"Brighton has a significant LGBT population, and records LGBT history in the city since the 19th century. Brighton Pride is at the start of August and attracts around 160,000 people every year.",0.0,0.0,0.0,0.4361324906349182,2.456303834915161
MH002,What are the main factors behind the collapse of the oil industry?,multi-hop,a natural gas shortage,The review was returned to the minister in June with a summary released to the public in August. A redacted version of the full review was made public in September via an FOI request.,0.0,0.0,0.0,0.4719929099082947,2.2862846851348877
MH003,Which other notable e-mail address does the United States have?,multi-hop,241-855-5311,[1],0.0,0.0,0.0,0.49031102657318115,0.6217527389526367
MH004,Which two people share the same ethnicity?,multi-hop,Wome,Gbe people and Yorubas,0.0,0.0,0.0,0.565109372138977,0.8329808712005615
MH005,What was the name of the city where Charles Albert lived?,multi-hop,Cheshir,HMS Lady Franklin,0.0,0.0,0.0,0.48965853452682495,0.6800210475921631
MH006,What is the major difference in the cgh language?,multi-hop,English,Bantu language are a major source of information about the language.,0.0,0.0,0.0,0.6193485260009766,1.235269546508789
MH007,Where was John Dante born?,multi-hop,Salburua,rape,0.0,0.0,0.0,0.6355786919593811,0.6513280868530273
MH008,What type of supposition is used when someone makes a complication about the state of the world?,multi-hop,a supposition,history.,0.0,0.0,0.0,0.5568811893463135,0.5839729309082031
MH009,What borough does the city of Dallas belong to?,multi-hop,Davidson County,SC Dallas Sidekicks.,0.3333333333333333,0.5,1.0,0.593802809715271,0.8116879463195801
MH010,In what year was the first era of military architecture?,multi-hop,1813,"Temple Architecture in the Iranian World before the Macedonian Conquest , Iran and the Caucasus",0.0,0.0,0.0,0.37978219985961914,1.7432734966278076
